first_name,last_name,email,company,website,notes
NZ Sotheby's Wellington,,info@wellington.nzsir.com,NZ Sotheby's International Realty Wellington,,Priority #1 - Luxury market - highest per-job rate - cinematic video expected - 10/10 profitability
Bayleys Residential,,wellingtonres@bayleys.co.nz,Bayleys Wellington Residential,bayleys.co.nz,Priority #2 - Premium brand - high-value listings - best long-term revenue - 9.5/10
Tommy's Real Estate,,office@tommys.co.nz,Tommy's Real Estate Wellington,tommys.co.nz,Priority #3 - Locally owned Wellington-only - 4 offices (City/Kapiti/Mana/Hutt) - 8.5/10
Ray White Wellington City,,reception.wellingtoncity@raywhite.com,Ray White Wellington City,rwwellingtoncity.co.nz,Priority #4 - Large agent roster - active auction programme - many listings per week - 9/10
Harcourts Wellington City,,wellingtoncity.reception@harcourts.co.nz,Harcourts Wellington City,harcourts.co.nz,Priority #5 - Biggest franchise volume in NZ - multiple local offices - 9.5/10
Bayleys Kapiti Coast,,kapiti.coast@bayleys.co.nz,Bayleys Kapiti Coast,bayleys.co.nz,Priority #6 - Growing market - less videographer competition outside city
Ray White Hutt City,,reception.huttcity@raywhite.com,Ray White Hutt City Lower Hutt,,Priority #7 - Active Hutt Valley market - 7.5/10
Harcourts Johnsonville,,johnsonville@harcourts.co.nz,Harcourts Johnsonville,,Priority #8 - Busy suburban office - lots of family homes
Harcourts Paraparaumu,,enquiries.paraparaumu@harcourts.co.nz,Harcourts Paraparaumu,,Priority #9 - Kapiti growth area - regular listings
Bayleys Lower Hutt,,office.lowerhutt@bayleys.co.nz,Bayleys Lower Hutt,,Priority #10 - Premium brand in growth suburb
Professionals Redcoats,,info@redcoats.co.nz,Professionals Redcoats Wellington,redcoats.professionals.co.nz,Priority #11 - Volume player - multiple suburbs (Eastbourne/Hutt/Tawa/Waikanae) - steady work - 6.5/10
Harcourts Lower Hutt,,lowerhutt@harcourts.co.nz,Harcourts Lower Hutt,,Priority #12
Harcourts Tawa,,enquiries.tawa@harcourts.co.nz,Harcourts Tawa,,Priority #13
Harcourts Whitby,,whitby@harcourts.co.nz,Harcourts Whitby,,Priority #16
Bayleys Commercial Wellington,,wgtnci@bayleys.co.nz,Bayleys Wellington Commercial,bayleys.co.nz,Commercial property - 8/10 profitability
Bayleys Property Services,,enquiries@bayleys.co.nz,Bayleys Property Services Wellington,bayleys.co.nz,General Bayleys enquiries
Ray White Kemeys Brothers,,kemeysbrothers.nz@raywhite.com,Ray White Kemeys Brothers Petone,,Priority #18 - Petone - 7/10
Harcourts Waikanae,,waikanae@harcourts.co.nz,Harcourts Waikanae,,Priority #19 - Kapiti area
Harcourts Upper Hutt,,upperhutt@harcourts.co.nz,Harcourts Upper Hutt,,Priority #20
Harcourts Wainuiomata,,wainuiomata@harcourts.co.nz,Harcourts Wainuiomata,,Suburban office
Harcourts Paremata,,office.paremata@harcourts.co.nz,Harcourts Paremata,,Coastal suburb office
Harcourts Otaki,,otaki@harcourts.co.nz,Harcourts Otaki,,Northern Kapiti
Harcourts Property Mgmt,,rentals.teamgroup@harcourts.co.nz,Harcourts Property Management Wellington,,Property management - different pitch angle
Bayleys Eastbourne,,eastbourne@bayleys.co.nz,Bayleys Eastbourne,,Coastal suburb - premium market
Bayleys Upper Hutt,,office.huttvalley@bayleys.co.nz,Bayleys Upper Hutt Valley,,Hutt Valley office
