first_name,last_name,email,company,website,notes
Cowley Construction,,info@cowleyconstruction.co.nz,Cowley Construction,cowleyconstruction.co.nz,Tier 1 - Residential extensions/fencing - no content presence
Aoraki Construction,,info@aorakiconstruction.co.nz,Aoraki Construction,aorakiconstruction.co.nz,Tier 1 - Residential & property development - actively building
Gary,,gary@sherwinconstruction.co.nz,Sherwin Construction,sherwinconstruction.co.nz,Tier 1 - Direct to owner Gary - Wellington's premier builder
Rob,,rob@bowmanbuilding.co.nz,Bowman Building,bowmanbuilding.co.nz,Tier 1 - Direct to owner Rob - small Wellington builder
Jet Construction,,builder@jetconstruction.co.nz,Jet Construction Ltd,jetconstruction.co.nz,Tier 1 - New builds & renovations Newtown - low social presence
Dub Construction,,admin@dubconstruction.co.nz,Dub Construction,dubconstruction.co.nz,Tier 1 - 18+ years experience - video content opportunity
Bespoke Building,,enquiries@bespokebuilding.nz,Bespoke Building Wellington,bespokebuilding.nz,Tier 1 - Commercial fitouts = perfect timelapse/process videos
Marty,,marty@decisiveconstruction.co.nz,Decisive Construction,decisiveconstruction.co.nz,Tier 1 - Direct to owner Marty - very approachable
Kiwi Built,,office@kiwi-built.nz,Kiwi Built,kiwi-built.nz,Tier 2 - Award-winning 2025 Supreme Craftsmanship - Lower Hutt
Redwood Builders,,info@redwoodbuilders.co.nz,Redwood Builders Ltd,redwoodbuilders.co.nz,Tier 2 - Kapiti Coast & Wellington - 5-star reviews
Clearcut Builders,,hello@clearcutbuilders.co.nz,Clearcut Building Solutions,clearcutbuilders.co.nz,Tier 2 - Home extensions Porirua/Titahi Bay
Galu,,galu@fairandsquarebs.co.nz,Fair & Square Building Services,fairandsquarebs.co.nz,Tier 2 - Direct to Galu - Kilbirnie - strong reviews
Jeremy,,jeremy@allbuilt.co.nz,All Built Company Ltd,allbuilt.co.nz,Tier 2 - Direct to Jeremy - extensions/renovations/carpentry
Smartway Builders,,ClientEnquiries@Smartway.Builders,Smartway Builders,smartway.builders,Tier 2 - Commercial + residential - seismic/car decks/fitouts - content goldmine
Josh,,josh@formanddwell.com,Form & Dwell,formanddwell.com,Tier 2 - TOP PRIORITY - high-end design+build - 60+ reviews - perfect Instagram/TikTok
Wellington Building Services,,propertysolutions@wbs.org.nz,Wellington Building Services,wbs.org.nz,Tier 2 - Residential repairs/restoration/insurance work
Built Construction,,info@builtconstructiongroup.co.nz,Built Construction Group,builtconstructiongroup.co.nz,Tier 2 - Miramar Wellington
Wellington Renovations,,info@wellingtonrenovationbuilders.co.nz,Wellington Renovation Builders,wellingtonrenovationbuilders.co.nz,Tier 2 - Renovations before/after = viral content potential
WGTN Build,,wgtnbuild@xtra.co.nz,Wellington Builders Ltd,wgtnbuild.co.nz,Tier 2 - xtra email = old school operator - 25+ years
Mike,,mike@visionbuilding.co.nz,Vision Building,visionbuilding.co.nz,Tier 2 - Direct to owner Mike - renovations
Chris,,chris@renovationsandredesigns.co.nz,Renovations & Redesigns Ltd,renovationsandredesigns.co.nz,Tier 2 - Direct to Chris - design+build = great visuals
Wellington Building Co,,marketing@wbco.co.nz,Wellington Building Company,wbco.co.nz,Tier 2 - Has marketing email = some awareness
LT McGuinness,,ltm@mcguinness.co.nz,LT McGuinness,mcguinness.co.nz,Tier 3 - Large commercial - high ticket if you land it
Naylor Love Wellington,,wellington@naylorlove.co.nz,Naylor Love Wellington,naylorlove.co.nz,Tier 3 - Major commercial contractor
Holmes Construction,,office@holmes.co.nz,Holmes Construction,holmes.co.nz,Tier 3 - Commercial construction Petone
HEB Construction,,enquiries@heb.co.nz,HEB Construction,heb.co.nz,Tier 3 - Large civil & infrastructure
Civil Construction Wellington,,info@civilconstructionwellington.nz,Civil Construction Wellington,civilconstructionwellington.nz,Civil - Infrastructure projects = epic content
Pritchard Civil,,info@pritchardcivil.co.nz,Pritchard Civil,pritchardcivil.co.nz,Civil - Land development - drone/timelapse content
CCL,,team@ccl.co.nz,Construction Contracts Ltd,ccl.co.nz,Civil - Infrastructure & utilities Wellington
Niche Group,,enquiries@niche.co.nz,Niche Group,niche.co.nz,Civil - Modular construction Lower Hutt - unique visual angle
